s,o,h,l,c,v,date,psar,PosDI,NegDI,ADX,accumulated_sentiment
ok,173.26,173.26,173.26,173.26,0.0,1997-07-20,173.26,0.0,0.0,0.0,
,173.25,173.25,173.25,173.25,0.0,1997-07-21,173.25,0.0,0.0,0.0,
,173.03,173.03,173.03,173.03,0.0,1997-07-22,173.26,0.0,0.0,0.0,
,173.03,173.03,173.03,173.03,0.0,1997-07-23,173.2554,0.0,0.0,0.0,
,172.66,172.66,172.66,172.66,0.0,1997-07-24,173.250892,0.0,0.0,0.0,
,173.15,173.15,173.15,173.15,0.0,1997-07-27,173.2272563,0.0,0.0,0.0,
,172.88,172.88,172.88,172.88,0.0,1997-07-29,173.2045661,34.32574431,65.67425569,0.0,
,172.12,172.12,172.12,172.12,0.0,1997-07-30,173.1827834,18.73804971,81.26195029,0.0,
,171.7,171.7,171.7,171.7,0.0,1997-07-31,173.1190164,14.26362231,85.73637769,0.0,
,171.52,171.52,171.52,171.52,0.0,1997-08-03,173.0054951,12.64592616,87.35407384,50.02901163,
,171.36,171.36,171.36,171.36,0.0,1997-08-04,172.8569456,11.23068383,88.76931617,55.53093577,
,171.16,171.16,171.16,171.16,0.0,1997-08-05,172.6773121,9.559135913,90.44086409,60.60109425,
,171.1,171.1,171.1,171.1,0.0,1997-08-06,172.4648884,9.053805917,90.94619408,64.85935303,
,171.24,171.24,171.24,171.24,0.0,1997-08-07,172.2465063,21.20313218,78.79686782,63.40622956,
,170.39,170.39,170.39,170.39,0.0,1997-08-10,172.0630653,10.52871785,89.47128215,66.51349651,
,169.38,169.38,169.38,169.38,0.0,1997-08-11,171.7619135,6.024155099,93.9758449,70.80113516,
,169.28,169.28,169.28,169.28,0.0,1997-08-12,171.2855308,5.72121679,94.27878321,74.35242142,
,169.28,169.28,169.28,169.28,0.0,1997-08-13,170.8844247,5.72121679,94.27878321,77.19345042,
,169.52,169.52,169.52,169.52,0.0,1997-08-14,170.5635397,20.6792975,79.3207025,73.48304133,
,169.57,169.57,169.57,169.57,0.0,1997-08-17,170.3068318,23.82656891,76.17343109,69.2558055,
,169.76,169.76,169.76,169.76,0.0,1997-08-20,170.1014654,35.90628436,64.09371564,61.04213066,
,169.57,169.57,169.57,169.57,0.0,1997-08-21,169.9371723,29.9661742,70.0338258,56.84723485,
,169.91,169.91,169.91,169.91,0.0,1997-08-24,169.28,48.88225146,51.11774854,45.92488729,
,169.57,169.57,169.57,169.57,0.0,1997-08-26,169.2926,36.54409121,63.45590879,42.12227335,
,169.87,169.87,169.87,169.87,0.0,1997-08-27,169.304948,50.36258513,49.63741487,33.84285273,
,169.98,169.98,169.98,169.98,0.0,1997-08-28,169.317049,54.86724431,45.13275569,29.02117991,
,169.64,169.64,169.64,169.64,0.0,1997-08-31,169.3435671,40.62344665,59.37655335,26.96756527,
,170.13,170.13,170.13,170.13,0.0,1997-09-01,169.3690244,59.54367141,40.45632859,25.39152078,
,170.2,170.2,170.2,170.2,0.0,1997-09-02,169.4146829,61.72175858,38.27824142,25.00192006,
,168.74,168.74,168.74,168.74,0.0,1997-09-03,170.2,25.67852689,74.32147311,29.73012529,
,168.63,168.63,168.63,168.63,0.0,1997-09-04,170.2,24.33991601,75.66008399,34.04813383,
,168.49,168.49,168.49,168.49,0.0,1997-09-07,170.1372,22.47591165,77.52408835,38.2481424,
,168.84,168.84,168.84,168.84,0.0,1997-09-08,170.038368,37.44623899,62.55376101,35.62001833,
,169.18,169.18,169.18,169.18,0.0,1997-09-09,169.9454659,49.3280609,50.6719391,28.7647903,
,169.17,169.17,169.17,169.17,0.0,1997-09-10,169.858138,48.98597712,51.01402288,23.41744139,
,169.99,169.99,169.99,169.99,0.0,1997-09-11,168.49,70.18161306,29.81838694,26.80659834,
,170.1,170.1,170.1,170.1,0.0,1997-09-14,168.52,72.12375095,27.87624905,30.29477905,
,170.45,170.45,170.45,170.45,0.0,1997-09-16,168.5832,77.8592752,22.1407248,35.37953332,
,170.6,170.6,170.6,170.6,0.0,1997-09-17,168.695208,80.05740658,19.94259342,40.32658929,
,169.67,169.67,169.67,169.67,0.0,1997-09-18,168.8475914,45.24499722,54.75500278,34.16327254,
,170.31,170.31,170.31,170.31,0.0,1997-09-21,168.9877841,60.1508959,39.8491041,31.39097639,
,170.06,170.06,170.06,170.06,0.0,1997-09-22,169.1167613,53.09348161,46.90651839,26.35017376,
,170.43,170.43,170.43,170.43,0.0,1997-09-23,169.2354204,61.45908485,38.54091515,25.66377295,
,169.96,169.96,169.96,169.96,0.0,1997-09-24,169.3445868,47.89573282,52.10426718,21.37272523,
,169.97,169.97,169.97,169.97,0.0,1997-09-25,169.4450198,48.19976867,51.80023133,17.81827271,
,170.71,170.71,170.71,170.71,0.0,1997-09-28,169.5374183,66.35804077,33.64195923,20.79783448,
,170.64,170.64,170.64,170.64,0.0,1997-09-29,169.6546764,63.71700369,36.28299631,22.12506906,
,171.23,171.23,171.23,171.23,0.0,1997-09-30,169.7602088,74.43634112,25.56365888,27.4745917,
,170.2,170.2,170.2,170.2,0.0,1997-10-01,169.9365837,45.25821306,54.74178694,23.87638813,
,169.8,169.8,169.8,169.8,0.0,1997-10-05,171.23,38.0229966,61.9770034,23.89191187,
,169.7,169.7,169.7,169.7,0.0,1997-10-06,171.2014,36.21382982,63.78617018,24.62799757,
,169.68,169.68,169.68,169.68,0.0,1997-10-07,171.141344,35.78812243,64.21187757,25.38714908,
,169.43,169.43,169.43,169.43,0.0,1997-10-16,171.0536634,30.23468153,69.76531847,28.21584666,
,169.51,169.51,169.51,169.51,0.0,1997-10-19,170.9237703,34.31195258,65.68804742,28.84789629,
,169.55,169.55,169.55,169.55,0.0,1997-10-20,170.8042687,36.62676548,63.37323452,28.42761084,
,169.29,169.29,169.29,169.29,0.0,1997-10-21,170.6943272,28.47405192,71.52594808,31.3524679,
,170.33,170.33,170.33,170.33,0.0,1997-10-22,170.5538945,66.14869048,33.85130952,31.54145051,
,171.04,171.04,171.04,171.04,0.0,1997-10-23,169.29,76.64606281,23.35393719,35.89158553,
,170.61,170.61,170.61,170.61,0.0,1997-10-26,169.325,62.07362105,37.92637895,33.54271685,
,172.96,172.96,172.96,172.96,0.0,1997-10-27,169.3593,83.50186861,16.49813139,40.23492092,
,172.0,172.0,172.0,172.0,0.0,1997-10-28,169.503328,64.80505688,35.19494312,38.10995949,
,173.43,173.43,173.43,173.43,0.0,1997-10-29,169.6415949,75.1608423,24.8391577,40.55230451,
,173.44,173.44,173.44,173.44,0.0,1997-11-03,169.8688992,75.22456556,24.77543444,42.53166983,
