Initial Capital.........................           $10,000.00
Final Capital...........................           $10,508.51
Total Return............................              $508.51
Total Return %..........................                5.09%
Commission Rate.........................               0.000%
Total Commission Paid...................                $0.00
Number of Trades........................                   20
Winning Trades..........................                    8
Losing Trades...........................                   12
Win Rate................................               40.00%
Average Gain............................              $335.83
Average Loss............................             $-181.51
Average Gain %..........................                3.26%
Average Loss %..........................               -1.68%
Best Trade..............................      $813.79 (7.76%)
Worst Trade.............................    $-630.53 (-5.74%)
