Initial Capital.........................           $10,000.00
Final Capital...........................            $9,244.41
Total Return............................             $-755.59
Total Return %..........................               -7.56%
Commission Rate.........................               0.000%
Total Commission Paid...................                $0.00
Number of Trades........................                   19
Winning Trades..........................                    8
Losing Trades...........................                   11
Win Rate................................               42.11%
Average Gain............................              $172.96
Average Loss............................             $-194.48
Average Gain %..........................                1.81%
Average Loss %..........................               -1.99%
Best Trade..............................      $380.38 (3.95%)
Worst Trade.............................    $-378.19 (-3.75%)
