Initial Capital.........................           $10,000.00
Final Capital...........................            $9,044.41
Total Return............................             $-955.59
Total Return %..........................               -9.56%
Commission Rate.........................               0.000%
Total Commission Paid...................                $0.00
Number of Trades........................                   22
Winning Trades..........................                    8
Losing Trades...........................                   14
Win Rate................................               36.36%
Average Gain............................              $284.99
Average Loss............................             $-231.11
Average Gain %..........................                2.93%
Average Loss %..........................               -2.31%
Best Trade..............................      $411.23 (4.47%)
Worst Trade.............................    $-874.01 (-8.47%)
