Initial Capital.........................           $10,000.00
Final Capital...........................           $10,421.94
Total Return............................              $421.94
Total Return %..........................                4.22%
Commission Rate.........................               0.000%
Total Commission Paid...................                $0.00
Number of Trades........................                   22
Winning Trades..........................                   11
Losing Trades...........................                   11
Win Rate................................               50.00%
Average Gain............................              $197.52
Average Loss............................             $-159.17
Average Gain %..........................                1.96%
Average Loss %..........................               -1.52%
Best Trade..............................      $784.47 (7.76%)
Worst Trade.............................    $-407.97 (-3.79%)
