Initial Capital.........................           $10,000.00
Final Capital...........................           $11,560.21
Total Return............................            $1,560.21
Total Return %..........................               15.60%
Commission Rate.........................               0.000%
Total Commission Paid...................                $0.00
Number of Trades........................                   20
Winning Trades..........................                   11
Losing Trades...........................                    9
Win Rate................................               55.00%
Average Gain............................              $314.68
Average Loss............................             $-211.25
Average Gain %..........................                2.91%
Average Loss %..........................               -1.85%
Best Trade..............................      $782.97 (7.07%)
Worst Trade.............................    $-372.88 (-3.15%)
