Initial Capital.........................           $10,000.00
Final Capital...........................            $9,835.52
Total Return............................             $-164.48
Total Return %..........................               -1.64%
Commission Rate.........................               0.000%
Total Commission Paid...................                $0.00
Number of Trades........................                   20
Winning Trades..........................                    9
Losing Trades...........................                   11
Win Rate................................               45.00%
Average Gain............................              $219.15
Average Loss............................             $-194.25
Average Gain %..........................                2.28%
Average Loss %..........................               -1.93%
Best Trade..............................      $649.31 (7.07%)
Worst Trade.............................    $-849.68 (-8.47%)
