Initial Capital.........................           $10,000.00
Final Capital...........................           $10,546.26
Total Return............................              $546.26
Total Return %..........................                5.46%
Commission Rate.........................               0.000%
Total Commission Paid...................                $0.00
Number of Trades........................                   18
Winning Trades..........................                    8
Losing Trades...........................                   10
Win Rate................................               44.44%
Average Gain............................              $287.48
Average Loss............................             $-175.36
Average Gain %..........................                2.83%
Average Loss %..........................               -1.66%
Best Trade..............................      $708.08 (7.07%)
Worst Trade.............................    $-337.21 (-3.15%)
