date,value,in_position
2025-05-15,10000.0,False
2025-05-18,10008.900039513108,True
2025-05-19,10082.977523564006,True
2025-05-20,10271.297756192624,True
2025-05-21,10240.838138203804,True
2025-05-22,10313.879841794125,True
2025-05-25,10281.003402730625,False
2025-05-26,10281.003402730625,False
2025-05-27,10281.041827625892,True
2025-05-28,10348.054844972823,True
2025-06-02,10354.202828215659,True
2025-06-03,10216.91067742404,True
2025-06-04,10170.877652893292,True
2025-06-05,10147.86114062792,False
2025-06-08,10147.86114062792,False
2025-06-09,10147.86114062792,False
2025-06-10,10147.86114062792,False
2025-06-11,10144.967441222285,True
2025-06-12,10110.35727333122,True
2025-06-15,10112.14679796365,True
2025-06-16,10122.84587076606,True
2025-06-17,10107.958548823917,True
2025-06-18,10114.251548647155,True
2025-06-19,10019.843025064813,True
2025-06-22,9894.295315464395,True
2025-06-23,9912.551949616976,True
2025-06-24,9911.675326265182,True
2025-06-25,9910.41756232565,False
2025-06-26,9913.472867669841,True
2025-06-29,10014.832622463451,True
2025-06-30,10049.968633921671,True
2025-07-01,10160.37973079745,True
2025-07-02,10291.872434548162,True
2025-07-03,10326.779298105568,False
2025-07-06,10326.779298105568,False
2025-07-07,10327.702785226875,True
2025-07-08,10327.125605776058,True
2025-07-09,10411.932506415922,True
2025-07-10,10511.592158256777,True
2025-07-13,10623.180185414492,True
2025-07-14,10488.158672553656,False
2025-07-15,10490.40104770379,True
2025-07-16,10621.941054392157,True
2025-07-17,10910.219283439039,True
2025-07-20,10911.435486910297,True
2025-07-21,10994.175329314392,True
2025-07-22,11301.950820259897,False
2025-07-23,11301.950820259897,False
2025-07-24,11293.317943040343,True
2025-07-27,11223.497655352367,True
2025-07-28,11250.418601418609,True
2025-07-29,11366.886716889441,True
2025-07-30,11185.406977795912,True
2025-07-31,11066.099100081807,False
2025-08-03,11066.099100081807,False
2025-08-04,11066.099100081807,False
2025-08-05,11066.099100081807,False
2025-08-06,11066.099100081807,False
2025-08-07,11066.099100081807,False
2025-08-11,11066.099100081807,False
2025-08-12,11066.099100081807,False
2025-08-13,11066.099100081807,False
2025-08-14,11066.099100081807,False
2025-08-17,11066.099100081807,False
2025-08-18,11066.099100081807,False
2025-08-19,11066.099100081807,False
2025-08-20,11066.099100081807,False
2025-08-21,11066.099100081807,False
2025-08-24,11066.099100081807,False
2025-08-25,11066.099100081807,False
2025-08-26,11005.265752879968,True
2025-08-27,11216.173256815186,True
2025-08-28,11064.587218333167,True
2025-08-31,10940.573128582917,True
2025-09-01,10988.4361218359,True
2025-09-02,10909.30104820316,False
2025-09-03,10909.30104820316,False
2025-09-04,10909.30104820316,False
2025-09-07,10909.30104820316,False
2025-09-08,11064.15155551963,True
2025-09-18,10400.28176024897,True
2025-09-21,10862.804492129257,True
2025-09-23,11105.555434481252,True
2025-09-24,10990.038612178323,True
2025-09-25,10964.350031270644,True
2025-09-28,11011.936633404854,True
2025-10-07,10769.869252435436,True
2025-10-08,10582.292871998503,True
2025-10-09,10675.688297038623,True
2025-10-12,10277.274372281458,True
2025-10-13,10458.938698473741,True
2025-10-14,10379.129557204182,True
2025-10-15,10286.42943323985,True
2025-10-16,10210.848862726856,True
2025-10-19,10281.010569686188,True
2025-10-26,10302.321129366948,True
2025-10-28,10558.129967153338,True
2025-10-29,10536.86046828121,True
2025-10-30,10677.370555424874,True
2025-11-02,10803.673602781362,False
2025-11-03,10800.091264444616,True
2025-11-04,10686.238787420458,True
2025-11-05,10736.391524134897,True
2025-11-06,10689.862302059924,True
2025-11-09,10566.209864988119,True
2025-11-10,10541.180655203001,True
2025-11-11,10554.429443898189,True
2025-11-12,10469.793548413703,True
2025-11-13,10474.484113355478,True
2025-11-16,10453.25313519797,True
2025-11-17,10493.534390268127,False
2025-11-18,10473.738503273276,True
2025-11-19,10453.371188612595,True
2025-11-20,10450.146703926835,True
2025-11-23,10613.126037474127,True
2025-11-24,10819.00326222057,True
2025-11-25,10817.50224154599,True
2025-11-26,10856.642523151439,True
2025-11-27,10899.122558234149,True
2025-11-30,10791.15077203639,True
2025-12-01,10773.71888803313,True
2025-12-02,10760.493358652646,True
2025-12-03,10705.443835023287,True
2025-12-07,10618.048138973125,True
2025-12-08,10605.760662154154,True
2025-12-09,10635.869049061566,True
2025-12-10,10619.10732161583,True
2025-12-11,10612.35089560544,True
2025-12-14,10561.474193719989,True
2025-12-15,10588.906911376625,True
2025-12-16,10663.716013828991,True
2025-12-17,10670.335398286927,True
2025-12-18,10627.015061405675,True
2025-12-21,10546.023099487908,True
2025-12-22,10489.576619255206,True
2025-12-23,10502.905953680205,True
