date,value,in_position
2025-05-15,10000.0,False
2025-05-18,10008.900039513108,True
2025-05-19,10082.977523564006,True
2025-05-20,10271.297756192624,True
2025-05-21,10240.838138203804,True
2025-05-22,10313.879841794125,True
2025-05-25,10157.03360842928,True
2025-05-26,10137.249984881342,True
2025-05-27,10140.509355810695,True
2025-05-28,10206.606366285028,True
2025-06-02,10212.670312200105,True
2025-06-03,10077.254819984053,False
2025-06-04,10077.254819984053,False
2025-06-05,10077.254819984053,False
2025-06-08,10077.254819984053,False
2025-06-09,10077.254819984053,False
2025-06-10,10079.663548582721,True
2025-06-11,10028.101702017497,True
2025-06-12,9993.89022863955,True
2025-06-15,9995.659138704195,True
2025-06-16,10006.23496270772,True
2025-06-17,9992.422491316625,True
2025-06-18,9988.395034092515,True
2025-06-19,9895.1612813437,True
2025-06-22,9771.175822500507,True
2025-06-23,9789.205280541155,True
2025-06-24,9788.339565436907,False
2025-06-25,9788.339565436907,False
2025-06-26,9791.357235075644,True
2025-06-29,9891.468425340814,True
2025-06-30,9926.171626186313,True
2025-07-01,10035.222662756245,True
2025-07-02,10165.095619833479,True
2025-07-03,10183.453477097082,True
2025-07-06,10192.492178980629,True
2025-07-07,10108.319267690107,True
2025-07-08,10107.754348822386,True
2025-07-09,10190.759761119614,True
2025-07-10,10288.302418946216,False
2025-07-13,10283.98141835027,True
2025-07-14,10153.271150322918,True
2025-07-15,10281.63466802661,True
2025-07-16,10410.556935807363,True
2025-07-17,10693.098224775005,True
2025-07-20,10681.863180573211,True
2025-07-21,10762.862209271405,True
2025-07-22,11064.162225072036,True
2025-07-23,11083.43530585553,True
2025-07-24,11097.425032447407,True
2025-07-27,11016.51415397598,True
2025-07-28,11042.938624536257,True
2025-07-29,11157.258837536832,True
2025-07-30,10979.125943872412,True
2025-07-31,10862.018339462527,True
2025-08-03,10631.225786667168,True
2025-08-04,10692.434634982445,True
2025-08-05,10538.631599361557,True
2025-08-06,10531.417433764253,True
2025-08-07,10599.50576989139,True
2025-08-11,10495.718469983776,False
2025-08-12,10495.718469983776,False
2025-08-13,10495.718469983776,False
2025-08-14,10495.718469983776,False
2025-08-17,10495.718469983776,False
2025-08-18,10499.58419859331,True
2025-08-19,10524.256642954155,True
2025-08-20,10487.494321863494,True
2025-08-21,10452.513267877226,True
2025-08-24,10384.218729108803,True
2025-08-25,10464.982137607978,False
2025-08-26,10407.453293334982,True
2025-08-27,10606.904178548291,True
2025-08-28,10463.55238215842,True
2025-08-31,10346.274810151272,True
2025-09-01,10391.5378576728,True
2025-09-02,10307.52907466948,True
2025-09-03,10248.735668932792,True
2025-09-04,10224.075519212032,True
2025-09-07,10180.769890434112,True
2025-09-08,10045.439800503114,True
2025-09-18,9442.694616627103,False
2025-09-21,9442.694616627103,False
2025-09-23,9442.694616627103,False
2025-09-24,9442.694616627103,False
2025-09-25,9428.970699997393,True
2025-09-28,9469.893570569404,True
2025-10-07,9261.723798893367,True
2025-10-08,9100.414447212039,True
2025-10-09,9180.731358265182,True
2025-10-12,8900.457693000932,False
2025-10-13,8900.457693000932,False
2025-10-14,8900.457693000932,False
2025-10-15,8900.457693000932,False
2025-10-16,8893.627910834979,True
2025-10-19,8953.272291216184,True
2025-10-26,8971.830704536238,True
2025-10-28,9194.603180420483,True
2025-10-29,9176.080525122241,True
2025-10-30,9298.444475760427,False
2025-11-02,9298.444475760427,False
2025-11-03,9295.361249133786,True
2025-11-04,9197.371345425072,True
2025-11-05,9240.536518198025,True
2025-11-06,9200.490011438225,True
2025-11-09,9094.065533739395,True
2025-11-10,9072.523535525088,True
2025-11-11,9083.926427780327,True
2025-11-12,9011.082485640485,True
2025-11-13,9015.119534451345,True
2025-11-16,8996.846576675867,True
2025-11-17,9031.515618656864,False
2025-11-18,9014.477806997813,True
2025-11-19,8996.948182218706,True
2025-11-20,8994.172951041253,True
2025-11-23,9134.445078782672,True
2025-11-24,9311.638320036796,True
2025-11-25,9310.346430082256,True
2025-11-26,9344.03346549771,True
2025-11-27,9380.594940979832,True
2025-11-30,9287.66639687331,True
2025-12-01,9272.663221891193,True
2025-12-02,9261.280348330916,True
2025-12-03,9213.900636789753,True
2025-12-07,9138.681405163425,True
2025-12-08,9128.105889357488,True
2025-12-09,9154.019404908458,True
2025-12-10,9139.593016468521,True
2025-12-11,9133.777934078767,True
2025-12-14,9089.98966307159,True
2025-12-15,9113.600298798661,True
2025-12-16,9177.986572487613,True
2025-12-17,9183.683706731837,True
2025-12-18,9146.399005067224,True
2025-12-21,9076.691302986945,True
2025-12-22,9028.109266765416,True
2025-12-23,9039.58148266222,True
