trade_num,prediction_date,entry_date,exit_date,entry_price,exit_price,shares,investment,gross_proceeds,entry_commission,exit_commission,total_commission,net_proceeds,pnl,pnl_pct,capital_after
1,2025-05-18,2025-05-19,2025-05-25,2606.73,2679.98,3.836223928063129,10000.0,10281.003402730625,0.0,0.0,0.0,10281.003402730625,281.00340273062466,2.8100340273062465,10281.003402730625
2,2025-05-27,2025-05-28,2025-06-05,2675.61,2640.96,3.842489526773567,10281.003402730625,10147.86114062792,0.0,0.0,0.0,10147.86114062792,-133.142262102705,-1.2950317871438748,10147.86114062792
3,2025-06-11,2025-06-12,2025-06-18,2665.23,2653.68,3.8074992179391347,10147.86114062792,10103.884524660722,0.0,0.0,0.0,10103.884524660722,-43.976615967198086,-0.4333584718767342,10103.884524660722
4,2025-06-18,2025-06-19,2025-06-25,2650.96,2600.2,3.811405877365453,10103.884524660722,9910.41756232565,0.0,0.0,0.0,9910.41756232565,-193.466962335071,-1.91477804267134,9910.41756232565
5,2025-06-26,2025-06-29,2025-07-03,2594.94,2703.96,3.819131680241412,9910.41756232565,10326.779298105568,0.0,0.0,0.0,10326.779298105568,416.3617357799176,4.2012532081666505,10326.779298105568
6,2025-07-07,2025-07-08,2025-07-14,2683.77,2725.71,3.847863005438457,10326.779298105568,10488.158672553656,0.0,0.0,0.0,10488.158672553656,161.37937444808813,1.562727059323258,10488.158672553656
7,2025-07-15,2025-07-16,2025-07-22,2759.58,2973.7,3.800635847684668,10488.158672553656,11301.950820259897,0.0,0.0,0.0,11301.950820259897,813.7921477062409,7.759151754977204,11301.950820259897
8,2025-07-24,2025-07-27,2025-07-31,2984.92,2922.63,3.7863496576993345,11301.950820259897,11066.099100081807,0.0,0.0,0.0,11066.099100081807,-235.85172017809055,-2.086823097436439,11066.099100081807
9,2025-08-26,2025-08-27,2025-09-02,2781.38,2741.97,3.9786361806304087,11066.099100081807,10909.30104820316,0.0,0.0,0.0,10909.30104820316,-156.79805187864622,-1.416922534856814,10909.30104820316
10,2025-09-08,2025-09-18,2025-09-25,2634.85,2652.0,4.140387896162271,10909.30104820316,10980.308700622343,0.0,0.0,0.0,10980.308700622343,71.0076524191827,0.6508909425583976,10980.308700622343
11,2025-09-25,2025-09-28,2025-10-12,2655.86,2503.35,4.134370298367513,10980.308700622343,10349.775886418312,0.0,0.0,0.0,10349.775886418312,-630.5328142040307,-5.742396060033297,10349.775886418312
12,2025-10-12,2025-10-13,2025-10-19,2521.01,2503.85,4.105408501520546,10349.775886418312,10279.327076532218,0.0,0.0,0.0,10279.327076532218,-70.44880988609475,-0.6806795689029607,10279.327076532218
13,2025-10-19,2025-10-26,2025-11-02,2503.44,2631.14,4.106080863344924,10279.327076532216,10803.673602781362,0.0,0.0,0.0,10803.673602781362,524.3465262491463,5.1009810500750925,10803.673602781362
14,2025-11-03,2025-11-04,2025-11-10,2623.76,2561.94,4.117630272121445,10803.673602781362,10549.121699358813,0.0,0.0,0.0,10549.121699358813,-254.551903422549,-2.35616062444737,10549.121699358813
15,2025-11-10,2025-11-11,2025-11-17,2563.87,2550.36,4.114530650679954,10549.121699358813,10493.534390268127,0.0,0.0,0.0,10493.534390268127,-55.587309090686176,-0.5269377932578484,10493.534390268127
16,2025-11-18,2025-11-19,2025-11-25,2570.92,2655.99,4.081626184505207,10493.534390268127,10840.758329783983,0.0,0.0,0.0,10840.758329783983,347.2239395158558,3.3089322110372734,10840.758329783983
17,2025-11-25,2025-11-26,2025-12-02,2661.7,2644.7,4.0728700942194775,10840.758329783983,10771.519538182252,0.0,0.0,0.0,10771.519538182252,-69.23879160173055,-0.6386895593041989,10771.519538182252
18,2025-12-02,2025-12-03,2025-12-10,2647.41,2609.03,4.068700933433904,10771.519538182252,10615.36279635706,0.0,0.0,0.0,10615.36279635706,-156.1567418251925,-1.449718781752725,10615.36279635706
19,2025-12-10,2025-12-11,2025-12-17,2608.11,2625.69,4.070136150836069,10615.36279635706,10686.915789888757,0.0,0.0,0.0,10686.915789888757,71.55299353169721,0.674051324522347,10686.915789888757
20,2025-12-17,2025-12-18,2025-12-24,2629.77,2585.87,4.063821471036919,10686.915789888757,10508.514027310237,0.0,0.0,0.0,10508.514027310237,-178.40176257852,-1.6693475094780081,10508.514027310237
