trade_num,prediction_date,entry_date,exit_date,entry_price,exit_price,shares,investment,gross_proceeds,entry_commission,exit_commission,total_commission,net_proceeds,pnl,pnl_pct,capital_after
1,2025-05-15,2025-05-18,2025-05-22,2608.26,2688.55,3.8339736069256896,10000.0,10307.829740900062,0.0,0.0,0.0,10307.829740900062,307.82974090006246,3.0782974090006245,10307.829740900062
2,2025-06-04,2025-06-05,2025-06-11,2643.85,2664.47,3.8987952194338042,10307.829740900062,10388.222898324788,0.0,0.0,0.0,10388.222898324788,80.39315742472536,0.7799232180343092,10388.222898324788
3,2025-06-11,2025-06-12,2025-06-18,2665.23,2653.68,3.897683463837938,10388.222898324788,10343.204654317458,0.0,0.0,0.0,10343.204654317458,-45.018244007329486,-0.43335847187673615,10343.204654317458
4,2025-06-18,2025-06-19,2025-06-25,2650.96,2600.2,3.901682656214148,10343.204654317458,10145.155242688026,0.0,0.0,0.0,10145.155242688026,-198.04941162943214,-1.9147780426713532,10145.155242688026
5,2025-06-26,2025-06-29,2025-07-03,2594.94,2703.96,3.909591452090617,10145.155242688026,10571.378902794946,0.0,0.0,0.0,10571.378902794946,426.22366010691985,4.201253208166671,10571.378902794946
6,2025-07-24,2025-07-27,2025-07-31,2984.92,2922.63,3.5415953870773573,10571.378902794946,10350.772926133897,0.0,0.0,0.0,10350.772926133897,-220.60597666104877,-2.086823097436449,10350.772926133897
7,2025-07-31,2025-08-03,2025-08-07,2923.87,2850.37,3.5400934125436145,10350.772926133897,10090.576060311942,0.0,0.0,0.0,10090.576060311942,-260.1968658219557,-2.5137916528436635,10090.576060311942
8,2025-08-12,2025-08-13,2025-08-19,2799.06,2776.9,3.6049874101705366,10090.576060311942,10010.689539302562,0.0,0.0,0.0,10010.689539302562,-79.88652100937907,-0.7916943545333075,10010.689539302562
9,2025-09-18,2025-09-21,2025-09-28,2487.56,2663.51,4.024300736184278,10010.689539302562,10718.765253834188,0.0,0.0,0.0,10718.765253834188,708.0757145316256,7.073196224412697,10718.765253834188
10,2025-10-07,2025-10-08,2025-10-14,2610.28,2528.16,4.10636608096993,10718.76525383419,10381.550471264938,0.0,0.0,0.0,10381.550471264938,-337.21478256925184,-3.1460226489112384,10381.550471264938
11,2025-10-15,2025-10-16,2025-10-29,2505.73,2566.16,4.143124147958853,10381.550471264938,10631.91946352609,0.0,0.0,0.0,10631.91946352609,250.36899226115202,2.41167244675203,10631.91946352609
12,2025-10-30,2025-11-02,2025-11-06,2614.19,2596.12,4.067003340815353,10631.919463526088,10558.428713157555,0.0,0.0,0.0,10558.428713157555,-73.49075036853355,-0.6912274930284343,10558.428713157555
13,2025-11-06,2025-11-09,2025-11-13,2598.4,2545.73,4.063434695642532,10558.428713157555,10344.407607738063,0.0,0.0,0.0,10344.407607738063,-214.0211054194915,-2.027016625615757,10344.407607738063
14,2025-11-13,2025-11-16,2025-11-20,2550.18,2560.29,4.05634410423502,10344.407607738063,10385.41724663188,0.0,0.0,0.0,10385.41724663188,41.00963889381637,0.3964426040514818,10385.41724663188
15,2025-11-20,2025-11-23,2025-11-27,2562.34,2676.03,4.053098826319645,10385.41724663188,10846.214052196161,0.0,0.0,0.0,10846.214052196161,460.7968055642814,4.43695996628083,10846.214052196161
16,2025-11-30,2025-12-01,2025-12-08,2648.34,2606.67,4.095476431348,10846.214052196163,10675.555549301891,0.0,0.0,0.0,10675.555549301891,-170.6585028942718,-1.5734384557874046,10675.555549301891
17,2025-12-09,2025-12-10,2025-12-16,2613.84,2619.99,4.084242168343086,10675.555549301893,10700.673638637201,0.0,0.0,0.0,10700.673638637201,25.11808933530847,0.23528601597648016,10700.673638637201
18,2025-12-16,2025-12-17,2025-12-23,2622.33,2584.49,4.080597651186999,10700.673638637201,10546.263823516285,0.0,0.0,0.0,10546.263823516285,-154.4098151209164,-1.442991538059668,10546.263823516285
