trade_num,prediction_date,entry_date,exit_date,entry_price,exit_price,shares,investment,gross_proceeds,entry_commission,exit_commission,total_commission,net_proceeds,pnl,pnl_pct,capital_after
1,2025-05-15,2025-05-18,2025-05-22,2608.26,2688.55,3.8339736069256896,10000.0,10307.829740900062,0.0,0.0,0.0,10307.829740900062,307.82974090006246,3.0782974090006245,10307.829740900062
2,2025-05-22,2025-05-25,2025-06-02,2693.04,2694.66,3.82758137305798,10307.829740900062,10314.030422724416,0.0,0.0,0.0,10314.030422724416,6.2006818243535236,0.06015506639336566,10314.030422724416
3,2025-06-02,2025-06-03,2025-06-09,2694.04,2653.09,3.8284622435911926,10314.030422724416,10157.254893849358,0.0,0.0,0.0,10157.254893849358,-156.77552887505772,-1.5200219744324353,10157.254893849358
4,2025-06-09,2025-06-10,2025-06-16,2654.31,2658.66,3.826702568218994,10157.254893849358,10173.90105002111,0.0,0.0,0.0,10173.90105002111,16.6461561717515,0.16388439933540944,10173.90105002111
5,2025-06-16,2025-06-17,2025-06-23,2659.28,2600.76,3.8258103885341557,10173.90105002111,9950.014626084092,0.0,0.0,0.0,9950.014626084092,-223.88642393701775,-2.200595649950352,9950.014626084092
6,2025-06-23,2025-06-24,2025-06-30,2603.47,2631.48,3.8218280318513727,9950.014626084092,10057.06402925625,0.0,0.0,0.0,10057.06402925625,107.04940317215733,1.0758718172285489,10057.06402925625
7,2025-06-30,2025-07-01,2025-07-07,2633.06,2684.01,3.819534696989909,10057.06402925625,10251.669322067886,0.0,0.0,0.0,10251.669322067886,194.6052928116369,1.9350109758228171,10251.669322067886
8,2025-07-07,2025-07-08,2025-07-14,2683.77,2725.71,3.8198762643847597,10251.669322067886,10411.874932596183,0.0,0.0,0.0,10411.874932596183,160.20561052829726,1.5627270593232698,10411.874932596183
9,2025-07-22,2025-07-23,2025-07-29,2976.27,3002.07,3.498296502869761,10411.874932596183,10502.130982370223,0.0,0.0,0.0,10502.130982370223,90.25604977403964,0.8668568375852979,10502.130982370223
10,2025-09-18,2025-09-21,2025-09-28,2487.56,2663.51,4.2218603701499555,10502.130982370223,11244.96731449811,0.0,0.0,0.0,11244.96731449811,742.8363321278866,7.073196224412697,11244.96731449811
11,2025-09-28,2025-10-07,2025-10-13,2662.51,2547.6,4.223446039450785,11244.96731449811,10759.65113010482,0.0,0.0,0.0,10759.65113010482,-485.3161843932903,-4.315852334826917,10759.65113010482
12,2025-10-13,2025-10-14,2025-10-26,2547.77,2509.04,4.223164229936305,10759.65113010482,10596.087979479387,0.0,0.0,0.0,10596.087979479387,-163.56315062543217,-1.5201529180420439,10596.087979479387
13,2025-10-28,2025-10-29,2025-11-04,2570.59,2595.24,4.122045125624618,10596.087979479387,10697.696391826034,0.0,0.0,0.0,10697.696391826034,101.60841234664622,0.9589238268257423,10697.696391826034
14,2025-11-04,2025-11-05,2025-11-11,2597.0,2565.16,4.119251594850224,10697.696391826034,10566.539421046002,0.0,0.0,0.0,10566.539421046002,-131.15697078003177,-1.2260300346553774,10566.539421046002
15,2025-11-12,2025-11-13,2025-11-19,2538.63,2561.08,4.162299910205899,10566.539421046002,10659.983054030125,0.0,0.0,0.0,10659.983054030125,93.44363298412281,0.8843352516908762,10659.983054030125
16,2025-11-19,2025-11-20,2025-11-26,2559.89,2665.6,4.164234812445115,10659.983054030125,11100.1843160537,0.0,0.0,0.0,11100.1843160537,440.2012620235746,4.129474313349416,11100.1843160537
17,2025-11-27,2025-11-30,2025-12-07,2674.69,2609.69,4.150082557624883,11100.1843160537,10830.428949808082,0.0,0.0,0.0,10830.428949808082,-269.75536624561755,-2.4301881713394837,10830.428949808082
18,2025-12-08,2025-12-09,2025-12-15,2607.36,2601.61,4.153791171839746,10830.42894980808,10806.544650570002,0.0,0.0,0.0,10806.544650570002,-23.8842992380778,-0.22052957781049884,10806.544650570002
19,2025-12-15,2025-12-16,2025-12-22,2601.81,2581.21,4.153471871723916,10806.544650570002,10720.98313001249,0.0,0.0,0.0,10720.98313001249,-85.56152055751227,-0.7917565079694483,10720.98313001249
